model,length_bucket,samples,accuracy
BiLSTM,1-100 words,3139.0,0.9143039184453647
NB-SVM,1-100 words,3058.0,0.9166121648136036
RoBERTa,1-100 words,3139.0,0.9499840713603058
BiLSTM,101-200 words,11783.0,0.9097852838835611
NB-SVM,101-200 words,11742.0,0.9087037983307784
RoBERTa,101-200 words,11783.0,0.9393193583976915
BiLSTM,201-300 words,4651.0,0.9026015910556869
NB-SVM,201-300 words,4605.0,0.9085776330076004
RoBERTa,201-300 words,4651.0,0.9021715760051602
BiLSTM,301-400 words,2296.0,0.8967770034843205
NB-SVM,301-400 words,2374.0,0.9069081718618366
RoBERTa,301-400 words,2296.0,0.8597560975609756
BiLSTM,More than 400 words,3131.0,0.881826892366656
NB-SVM,More than 400 words,3221.0,0.9084135361688916
RoBERTa,More than 400 words,3131.0,0.8428617055253913
